,city,location,restaurant_name,res_speed,res_service,res_flavour
0,ankara,keçiören,şakayık dürüm,9.2,9.1,9.1
1,ankara,çankaya,the italian cut pizza,9.3,9.2,9.2
2,ankara,etimesgut,osmanoğulları pide & kebap,9.4,9.3,9.1
3,ankara,çankaya,komagene etsiz çiğ köfte,9.3,9.1,9.2
4,ankara,çankaya,jimmy the burger,9.2,9.3,9.2
5,ankara,batıkent,bakermill burgershop,9.6,9.3,9.2
6,ankara,kocatepe,cafe kıraç,9.1,9.1,9.1
7,ankara,eryaman evleri,çorba 7/24 & izgara,9.4,9.4,9.2
8,ankara,çankaya,atom ayvalık & kumru,9.4,9.3,9.1
9,ankara,yenimahalle,komagene etsiz çiğ köfte,9.1,9.1,9.1
10,ankara,yenimahalle,space burger,9.5,9.5,9.3
11,ankara,yenimahalle,baykuş fast food,9.7,9.5,9.4
12,ankara,mamak,badempınarı su,9.6,9.7,9.5
13,ankara,emek,meşhur gülçimen aspava,9.3,9.1,9.1
14,ankara,100. yıl,javsu,9.9,9.9,9.9
15,ankara,çankaya,antep şiş,9.5,9.3,9.2
16,ankara,çankaya,kumpirevi,9.2,9.3,9.2
17,ankara,emek,buzdağı su,9.4,9.7,9.8
18,ankara,tunalı,bay baget sandwich,9.7,9.5,9.4
19,ankara,etimesgut,antep ateşi pide & lahmacun & kebap,9.4,9.3,9.2
20,ankara,balgat,meşhur adıyaman çiğ köftecisi ahmet aybak,9.6,9.4,9.1
21,ankara,pursaklar,meşhur adıyaman çiğ köftecisi bayram usta,9.7,9.8,9.7
22,ankara,yenimahalle,bosporus pizza & burger,9.7,9.7,9.9
23,ankara,tunalı,red et,9.2,9.3,9.2
24,ankara,yenimahalle,cajun corner,9.3,9.2,9.3
25,ankara,keçiören,komagene etsiz çiğ köfte,9.3,9.3,9.1
26,ankara,sincan,bi çorba ev yemekleri,9.4,9.3,9.2
27,ankara,sincan,javsu,9.5,9.6,9.8
28,ankara,altındağ,komagene etsiz çiğ köfte,9.6,9.5,9.3
29,ankara,çankaya,çiğköfteci ömer usta,9.4,9.4,9.3
30,ankara,çankaya,sweetish waffles & crepes,9.6,9.5,9.3
31,ankara,emek,casa della pizza & burger,9.2,9.4,9.2
32,ankara,çankaya,white point cajun,9.2,9.3,9.1
33,ankara,çankaya,fuska su,9.3,9.7,9.7
34,ankara,maltepe,komagene etsiz çiğ köfte,9.4,9.3,9.2
35,ankara,etimesgut,capello pizza,9.4,9.3,9.4
36,ankara,ümitköy,berilya pide & kebap,9.5,9.4,9.1
37,ankara,keçiören,dolunay simit & pasta & cafe,9.6,9.4,9.4
38,ankara,keçiören,merdane gözleme & mantı,9.2,9.3,9.2
39,ankara,keçiören,hayat su,9.2,9.6,9.6
40,ankara,çankaya,meşhur yılmaz burmalı kadayıf & künefe,9.2,9.1,9.1
41,ankara,çankaya,somunarası,9.3,9.7,9.5
42,ankara,çankaya,maşa döner & pide & kebap,9.5,9.5,9.1
43,ankara,öveçler,komagene etsiz çiğ köfte,9.1,9.3,9.1
44,ankara,yenimahalle,asilzade pide & pizza,9.1,9.2,9.2
45,ankara,altındağ,arzu pide & kebap & çorba,9.5,9.3,9.2
46,ankara,mustafa kemal mah.,egem sandwich,9.2,9.2,9.1
47,ankara,keçiören,çiçek pide & kebap,9.4,9.3,9.2
48,ankara,elvankent,komagene etsiz çiğ köfte,9.6,9.7,9.8
49,ankara,yıldız,boston express,9.6,9.5,9.3
50,ankara,aşağı ayrancı,kuzgun ev yemekleri,9.6,9.4,9.3
51,ankara,etimesgut,saka su,9.1,9.5,9.6
52,ankara,batıkent,meşhur adıyaman çiğ köftecisi ömer aybak,9.5,9.4,9.2
53,ankara,yenimahalle,komagene etsiz çiğ köfte,9.1,9.4,9.3
54,ankara,etimesgut,abart tavuk,10.0,10.0,10.0
55,ankara,balgat,cevizli cafe,9.3,9.3,9.2
56,ankara,konutkent 2,cuisine sandviç & burger & tatlı,9.4,9.6,9.6
57,ankara,çankaya,meşhur adıyaman çiğ köftecisi ömer aybak,9.2,9.3,9.2
58,ankara,çankaya,franco burger,9.4,9.3,9.1
59,ankara,altındağ,yiğit su,9.6,10.0,10.0
60,ankara,dikmen,komagene etsiz çiğ köfte,9.1,9.1,9.1
61,ankara,hoşdere caddesi,ratu burger house,9.3,9.5,9.3
62,ankara,emek,oburiks home made burger,9.4,9.3,9.1
63,ankara,çankaya,çatı açık büfe,10.0,10.0,10.0
64,ankara,çankaya,patlican pide & pizza,9.5,9.4,9.4
65,ankara,keçiören,pilavcı kemo,9.5,9.4,9.1
66,ankara,keçiören,komagene etsiz çiğ köfte,9.1,9.1,9.1
67,ankara,kahramankazan,komagene etsiz çiğ köfte,9.6,9.6,9.5
68,ankara,aşağı ayrancı,just cafe,9.6,9.4,9.3
69,ankara,mamak,meşhur adıyaman çiğ köftecisi ahmet aybak,9.3,9.3,9.2
